tableId,label,length,numberOfIndex,percentageOfIndex,numberOfNumericCells,percentageOfNumericCells,numberOfBlankCells,percentageOfBlankCells,numberOfCellsStartingWithCapitals,percentageOfCellsStartingWithCapitals,numberOfCellsAllCapitalised,percentageOfCellsAllCapitalised,numberOfCellsAllLowercase,percentageOfCellsAllLowercase,numberOfCellsContainingCountry,percentageOfCellsContainingCountry,numberOfCellsContainingCountryNames,percentageOfCellsContainingCountryNames,numberOfCellsWithRowspan,percentageOfCellsWithRowspan,numberOfCellsWithColspan,percentageOfCellsWithColspan,numberOfCellsWithStyleClass,percentageOfCellsWithStyleClass,numberOfCellsWithInlineStyle,percentageOfCellsWithInlineStyle,hasStyleClass,hasInlineStyle,avgNumberOfWords,minNumberOfWords,maxNumberOfWords,sdNumberOfWords,avgNumberOfCharacters,minNumberOfCharacters,maxNumberOfCharacters,sdNumberOfCharacters,avgNumberOfLetters,minNumberOfLetters,maxNumberOfLetters,sdNumberOfLetters,avgNumberOfNumbers,minNumberOfNumbers,maxNumberOfNumbers,sdNumberOfNumbers,avgNumberOfPunctuationMarks,minNumberOfPunctuationMarks,maxNumberOfPunctuationMarks,sdNumberOfPunctuationMarks,avgRowspan,minRowspan,maxRowspan,sdRowspan,avgColspan,minColspan,maxColspan,sdColspan
www.nationmaster.com.html-0,true,273,0,0.0,0,0.0,0,0.0,273,1.0,0,0.0,0,0.0,0,0.0,182,0.6666666865348816,0,0.0,0,0.0,273,1.0,272,0.9963369965553284,false,false,1.57,1,7,1.0,10.5,4,44,6.0,10.5,4,44,6.0,0.0,0,0,0.0,0.07,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
www.bbc.co.uk.html-0,true,23,0,0.0,0,0.0,0,0.0,23,1.0,0,0.0,0,0.0,1,0.043478261679410934,18,0.782608687877655,0,0.0,2,0.08695652335882187,23,1.0,0,0.0,false,false,1.52,1,5,1.0,10.26,5,37,9.0,10.26,5,37,9.0,0.0,0,0,0.0,0.04,0,1,0.0,0.0,0,0,0.0,0.35,0,4,1.0
www.bbc.co.uk.html-0,false,23,1,0.043478261679410934,0,0.0,0,0.0,3,0.1304347813129425,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.08695652335882187,23,1.0,0,0.0,false,false,1.39,1,5,1.0,7.48,4,37,9.0,4.87,1,37,10.0,2.61,0,3,1.0,1.04,0,3,0.0,0.0,0,0,0.0,0.35,0,4,1.0
www.bbc.co.uk.html-0,false,23,2,0.08695652335882187,0,0.0,0,0.0,3,0.1304347813129425,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.08695652335882187,23,1.0,0,0.0,false,false,1.43,1,5,1.0,7.35,3,37,9.0,4.78,1,37,10.0,2.57,0,4,1.0,1.04,0,3,0.0,0.0,0,0,0.0,0.35,0,4,1.0
www.bbc.co.uk.html-0,false,23,3,0.1304347813129425,0,0.0,0,0.0,3,0.1304347813129425,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.08695652335882187,23,1.0,0,0.0,false,false,1.52,1,6,1.0,8.83,5,37,9.0,5.04,1,37,11.0,3.78,0,5,2.0,1.04,0,3,0.0,0.0,0,0,0.0,0.35,0,4,1.0
www.nationmaster.com.html-0,false,273,1,0.0036630036775022745,0,0.0,0,0.0,10,0.03663003817200661,0,0.0,14,0.05128205195069313,0,0.0,0,0.0,0,0.0,0,0.0,273,1.0,272,0.9963369965553284,false,false,13.56,1,128,13.0,90.86,1,817,82.0,90.69,1,817,82.0,0.17,0,13,1.0,3.63,0,17,3.0,0.0,0,0,0.0,0.0,0,0,0.0
74638655_5966129067611364549-0,false,37,4,0.10810811072587967,0,0.0,0,0.0,37,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.97,1,2,0.0,6.11,4,10,2.0,5.11,3,9,2.0,1.0,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
74638655_5966129067611364549-0,false,37,5,0.13513512909412384,36,0.9729729890823364,0,0.0,1,0.027027027681469917,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,4.03,4,5,0.0,0.14,0,5,1.0,3.89,0,4,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
74638655_5966129067611364549-0,false,37,2,0.054054055362939835,0,0.0,0,0.0,35,0.9459459185600281,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,2.08,1,3,0.0,13.68,5,29,4.0,13.68,5,29,4.0,0.0,0,0,0.0,0.19,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
74638655_5966129067611364549-0,true,37,3,0.0810810774564743,0,0.0,0,0.0,37,1.0,3,0.0810810774564743,0,0.0,1,0.027027027681469917,33,0.8918918967247009,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.08,1,2,0.0,7.73,2,14,3.0,7.73,2,14,3.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
