tableId,label,length,numberOfCellsContainingCountry,percentageOfCellsContainingCountry,numberOfCellsContainingCountryNames,percentageOfCellsContainingCountryNames,resultAlwaysFirst,resultAlwaysEmpty,resultTengli,resultChen,resultFindCrossing,resultFindCountry,resultFindCountryNames,resultClassifier
www.nationmaster.com.html-0,true,273,0,0.0,209,0.7655678,true,false,true,true,true,false,true,false
www.bbc.co.uk.html-0,true,23,1,0.04347826,19,0.82608694,true,false,true,true,true,true,true,false
www.bbc.co.uk.html-0,false,23,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.bbc.co.uk.html-0,false,23,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.bbc.co.uk.html-0,false,23,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.nationmaster.com.html-0,false,273,0,0.0,0,0.0,false,false,false,false,false,true,false,false
74638655_5966129067611364549-0,false,37,0,0.0,0,0.0,false,false,false,false,false,false,false,false
74638655_5966129067611364549-0,false,37,0,0.0,0,0.0,false,false,false,false,false,false,false,false
74638655_5966129067611364549-0,false,37,0,0.0,0,0.0,false,false,false,false,false,false,false,false
74638655_5966129067611364549-0,true,37,1,0.027027028,33,0.8918919,false,false,true,true,true,true,true,false
74638655_5966129067611364549-0,false,37,0,0.0,0,0.0,true,false,false,false,false,false,false,false
74638655_5966129067611364549-0,false,37,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Minimum pensionable age for men.html-0,true,127,1,0.007874016,109,0.8582677,false,false,false,false,false,false,false,false
Minimum pensionable age for men.html-0,false,127,0,0.0,0,0.0,false,false,false,false,false,false,false,false
assembly.coe.int.html-0,false,38,0,0.0,0,0.0,false,false,false,false,false,false,false,false
assembly.coe.int.html-0,true,38,0,0.0,30,0.7894737,true,false,true,true,true,false,true,false
assembly.coe.int.html-0,false,38,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.washingtonpost.com.html-0,false,34,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.washingtonpost.com.html-0,false,34,0,0.0,0,0.0,false,false,false,false,false,false,false,false
10805443_3820226652676022379-0,false,10,0,0.0,0,0.0,false,false,false,false,false,false,false,false
10805443_3820226652676022379-0,true,10,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.spoonfork.org-isocodes-table.html-0,false,252,0,0.0,0,0.0,true,false,false,false,false,false,false,false
10805443_3820226652676022379-0,false,10,0,0.0,0,0.0,false,false,false,false,true,false,false,false
www.spoonfork.org-isocodes-table.html-0,true,252,0,0.0,196,0.7777778,false,false,true,true,true,false,true,false
10805443_3820226652676022379-0,false,10,0,0.0,0,0.0,false,false,false,false,false,false,false,false
10805443_3820226652676022379-0,false,10,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.washingtonpost.com.html-0,true,34,1,0.029411765,28,0.8235294,true,false,true,true,true,true,true,false
10805443_3820226652676022379-0,false,10,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.washingtonpost.com.html-0,false,34,0,0.0,0,0.0,false,false,false,false,false,false,false,false
10805443_3820226652676022379-0,false,10,0,0.0,9,0.9,false,false,true,true,false,false,true,false
bbs.com.html-0,true,14,1,0.071428575,9,0.64285713,true,false,true,true,true,true,true,false
bbs.com.html-0,false,14,0,0.0,0,0.0,false,false,false,false,false,false,false,false
bbs.com.html-0,false,14,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.theatlanticcities.com-jobs-and-economy.html-0,true,21,1,0.04761905,0,0.0,true,false,false,false,true,true,false,false
bbs.com.html-0,false,14,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.theatlanticcities.com-jobs-and-economy.html-0,false,21,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.theatlanticcities.com-jobs-and-economy.html-0,false,21,0,0.0,0,0.0,false,false,false,false,false,false,false,false
87022978_2241188169338211567-0,false,32,0,0.0,0,0.0,true,false,false,false,true,false,false,false
99959905_454308717018574439-0,true,19,1,0.05263158,12,0.6315789,true,false,true,true,true,true,true,false
99959905_454308717018574439-0,false,19,0,0.0,0,0.0,false,false,false,false,false,false,false,false
99959905_454308717018574439-0,false,19,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global road accident injury data.html-0,false,179,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global road accident injury data.html-0,false,179,0,0.0,0,0.0,false,false,false,false,false,false,false,false
greeneconomypost.com.html-0,false,13,0,0.0,0,0.0,false,false,false,false,false,false,false,false
greeneconomypost.com.html-0,false,13,0,0.0,0,0.0,false,false,false,false,false,false,false,false
greeneconomypost.com.html-0,false,13,0,0.0,0,0.0,false,false,false,false,false,false,false,false
87022978_2241188169338211567-0,false,32,0,0.0,0,0.0,false,false,false,false,false,false,false,false
greeneconomypost.com.html-0,true,13,1,0.07692308,9,0.6923077,true,false,true,true,true,true,true,false
87022978_2241188169338211567-0,true,32,1,0.03125,0,0.0,false,false,true,false,false,true,false,false
87022978_2241188169338211567-0,false,32,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global life expectancy rate at birth.html-0,true,235,1,0.004255319,203,0.8638298,false,false,false,false,false,false,false,false
Global life expectancy rate at birth.html-0,false,235,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global life expectancy rate at birth.html-0,false,235,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global life expectancy rate at birth.html-0,false,235,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global life expectancy rate at birth.html-0,false,235,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Countries with aircraft carriers.html-0,true,15,0,0.0,13,0.8666667,true,false,true,true,true,false,true,false
Countries with aircraft carriers.html-0,false,15,0,0.0,0,0.0,false,false,false,false,false,false,false,false
history1900s.about.com.html-0,true,24,1,0.041666668,19,0.7916667,true,false,true,true,true,true,true,false
history1900s.about.com.html-0,false,24,0,0.0,0,0.0,false,false,false,false,false,false,false,false
history1900s.about.com.html-0,false,24,0,0.0,0,0.0,false,false,false,false,false,false,false,false
16.html-0,false,190,0,0.0,0,0.0,false,false,false,false,false,false,false,false
16.html-0,false,190,0,0.0,0,0.0,false,false,true,false,false,false,false,false
16.html-0,false,190,0,0.0,118,0.6210526,false,false,true,false,false,false,false,false
16.html-0,false,190,0,0.0,13,0.06842105,false,false,false,false,false,false,false,false
16.html-0,false,190,0,0.0,6,0.031578947,false,false,false,false,false,false,false,false
16.html-0,true,190,1,0.005263158,138,0.7263158,true,false,true,true,true,true,true,false
Global road accident injury data.html-0,false,179,0,0.0,0,0.0,false,false,false,false,false,false,false,false
76643855_5283277922537602090-0,false,6,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global road accident injury data.html-0,false,179,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global road accident injury data.html-0,false,179,0,0.0,0,0.0,false,false,false,false,false,false,false,false
76643855_5283277922537602090-0,false,6,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global road accident injury data.html-0,false,179,0,0.0,0,0.0,false,false,false,false,false,false,false,false
76643855_5283277922537602090-0,false,6,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global road accident injury data.html-0,false,179,0,0.0,0,0.0,false,false,false,false,false,false,false,false
76643855_5283277922537602090-0,true,6,0,0.0,3,0.5,false,false,true,true,true,false,true,false
Global road accident injury data.html-0,false,179,0,0.0,0,0.0,false,false,false,false,false,false,false,false
76643855_5283277922537602090-0,false,6,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global road accident injury data.html-0,true,179,0,0.0,164,0.9162011,true,false,true,true,true,false,true,false
76643855_5283277922537602090-0,false,6,0,0.0,0,0.0,true,false,false,false,false,false,false,false
12846405_167324229793869046-0,false,13,0,0.0,0,0.0,false,false,false,false,false,false,false,false
europeancountrieslanguages.html-0,false,51,0,0.0,0,0.0,false,false,false,false,false,false,false,false
12846405_167324229793869046-0,false,13,0,0.0,0,0.0,false,false,false,false,false,false,false,false
worldlistmania.com.html-0,false,21,0,0.0,0,0.0,true,false,false,false,false,false,false,false
europeancountrieslanguages.html-0,true,51,1,0.019607844,43,0.84313726,true,false,true,true,true,true,true,false
12846405_167324229793869046-0,false,13,0,0.0,0,0.0,false,false,false,false,true,false,false,false
worldlistmania.com.html-0,true,21,0,0.0,18,0.85714287,false,false,true,true,true,false,true,false
12846405_167324229793869046-0,false,13,0,0.0,0,0.0,true,false,false,false,false,false,false,false
worldlistmania.com.html-0,false,21,0,0.0,0,0.0,false,false,false,false,false,false,false,false
worldlistmania.com.html-0,false,21,0,0.0,0,0.0,false,false,false,false,false,true,false,false
worldlistmania.com.html-0,false,21,0,0.0,0,0.0,false,false,false,false,false,false,false,false
europeancountrieslanguages.html-0,false,51,0,0.0,0,0.0,false,false,false,false,false,false,false,false
12846405_167324229793869046-0,false,13,0,0.0,0,0.0,false,false,false,false,false,false,false,false
12846405_167324229793869046-0,false,13,0,0.0,0,0.0,false,false,false,false,false,false,false,false
12846405_167324229793869046-0,false,13,0,0.0,0,0.0,false,false,false,false,false,false,false,false
12846405_167324229793869046-0,false,13,0,0.0,0,0.0,false,false,false,false,false,false,false,false
72914669_108262620632100647-0,false,6,0,0.0,0,0.0,false,false,false,false,false,false,false,false
72914669_108262620632100647-0,false,6,0,0.0,0,0.0,false,false,false,false,false,false,false,false
72914669_108262620632100647-0,true,6,0,0.0,4,0.6666667,false,false,true,true,true,false,true,false
72914669_108262620632100647-0,false,6,0,0.0,0,0.0,true,false,false,false,false,false,false,false
72914669_108262620632100647-0,false,6,0,0.0,0,0.0,false,false,false,false,false,false,false,false
72914669_108262620632100647-0,false,6,0,0.0,0,0.0,false,false,false,false,false,false,false,false
saschastab (11).html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,true,false,false,false
saschastab (11).html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
saschastab (11).html-0,true,7,0,0.0,0,0.0,true,false,false,false,false,false,false,false
saschastab (11).html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
33864690_6499799868506677924-0,false,3,0,0.0,0,0.0,false,false,false,false,false,false,false,false
33864690_6499799868506677924-0,false,3,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Landlocked country - Wikipedia.html-0,true,53,1,0.018867925,0,0.0,true,false,true,false,true,true,false,false
Landlocked country - Wikipedia.html-0,false,51,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Landlocked country - Wikipedia.html-0,false,51,0,0.0,0,0.0,false,false,false,false,false,false,false,false
33864690_6499799868506677924-0,true,3,1,0.33333334,1,0.33333334,true,false,true,false,true,true,false,false
33864690_6499799868506677924-0,false,3,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Landlocked country - Wikipedia.html-0,false,49,0,0.0,0,0.0,false,false,false,false,false,false,false,false
88202518_1835626783474675706-0,false,30,0,0.0,0,0.0,true,false,false,false,false,false,false,false
Global stillbirth rate per 1000 births.html-0,false,194,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global stillbirth rate per 1000 births.html-0,false,194,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global stillbirth rate per 1000 births.html-0,false,194,0,0.0,0,0.0,false,false,false,false,false,false,false,false
Global stillbirth rate per 1000 births.html-0,false,194,0,0.0,0,0.0,false,false,false,false,false,false,false,false
saschastab (9).html-0,true,142,0,0.0,123,0.86619717,true,false,true,true,true,false,true,false
