tableId,label,length,numberOfCellsContainingCountry,percentageOfCellsContainingCountry,numberOfCellsContainingCountryNames,percentageOfCellsContainingCountryNames,resultAlwaysFirst,resultAlwaysEmpty,resultTengli,resultChen,resultFindCrossing,resultFindCountry,resultFindCountryNames,resultClassifier
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,0,0.0,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,0,0.0,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,0,0.0,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
International Organization for Standardization Members.html-0,false,3,0,0.0,1,0.33333334,false,false,false,false,false,false,false,false
www.internetworldstats.comtop25.html-0,false,7,0,0.0,1,0.14285715,false,false,false,false,false,false,false,false
