tableId,correctnessAlwaysFirst,correctnessAlwaysEmpty,correctnessChen,correctnessClassifierFeatures,correctnessClassifierStacking,correctnessFindCountry,correctnessFindCountryNames,correctnessFindCrossing,correctnessFindHtmlHeader,correctnessFindHtmlStyle,correctnessTengli,numberOfColumns,numberOfRows,numberOfCells,columnsToRowsRatio,columnsToCellsRatio,rowsToColumnsRatio,rowsToCellsRatio,cellsToColumnsRatio,cellsToRowsRatio,numberOfCellsContainingCountry,percentageOfCellsContainingCountry,containsCountry,numberOfCellsContainingCountr,percentageOfCellsContainingCountr,containsCountr,numberOfNumericCells,percentageOfNumericCells,numberOfBlankCells,percentageOfBlankCells,numberOfCellsStartingWithCapitals,percentageOfCellsStartingWithCapitals,numberOfCellsAllCapitalized,percentageOfCellsAllCapitalized,numberOfCellsAllLowercase,percentageOfCellsAllLowercase,numberOfCellsWithRowspan,percentageOfCellsWithRowspan,numberOfCellsWithColspan,percentageOfCellsWithColspan,numberOfCellsWithStyleClass,percentageOfCellsWithStyleClass,numberOfCellsWithInlineStyle,percentageOfCellsWithInlineStyle,numberOfCellsWithId,percentageOfCellsWithId,numberOfCellsContainingCountryNames,percentageOfCellsContainingCountryNames,avgNumberOfWords,sdNumberOfWords,minNumberOfWords,maxNumberOfWords,avgNumberOfCharacters,sdNumberOfCharacters,minNumberOfCharacters,maxNumberOfCharacters,avgNumberOfLetters,sdNumberOfLetters,minNumberOfLetters,maxNumberOfLetters,avgNumberOfNumbers,sdNumberOfNumbers,minNumberOfNumbers,maxNumberOfNumbers,avgNumberOfPunctuationMarks,sdNumberOfPunctuationMarks,minNumberOfPunctuationMarks,maxNumberOfPunctuationMarks,avgColspanLength,sdColspanLength,minColspanLength,maxColspanLength,avgRowspanLength,sdRowspanLength,minRowspanLength,maxRowspanLength
8.html-2,false,false,true,false,false,false,true,false,false,false,true,4,32,128,0.125,0.03125,8.0,0.25,32.0,4.0,0,0.0,false,0,0.0,false,0,0.0,0,0.0,119,0.93,0,0.0,0,0.0,0,0.0,8,0.06,0,0.0,0,0.0,0,0.0,45,0.35,3.05,3.77,1,25,23.86,33.48,1,200,23.86,33.48,1,200,0.0,0.0,0,0,0.64,1.63,0,9,0.13,0.49,0,2,0.0,0.0,0,0
78265510_1648335133027689379-0,false,false,false,false,false,false,false,false,false,false,false,4,12,48,0.3333333432674408,0.0833333358168602,3.0,0.25,12.0,4.0,0,0.0,false,0,0.0,false,24,0.5,0,0.0,24,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.19,1.04,0.2,1,2,3.65,4.09,0,14,3.65,4.09,0,14,1.31,1.67,0,4,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
8.html-0,true,false,true,true,false,false,true,true,false,false,true,4,16,64,0.25,0.0625,4.0,0.25,16.0,4.0,0,0.0,false,0,0.0,false,0,0.0,0,0.0,60,0.94,0,0.0,0,0.0,0,0.0,2,0.03,0,0.0,0,0.0,0,0.0,19,0.3,2.52,1.94,1,10,19.28,17.26,1,73,19.28,17.26,1,73,0.0,0.0,0,0,0.47,1.15,0,5,0.06,0.35,0,2,0.0,0.0,0,0
School starting age.html-0,false,false,true,false,false,false,false,false,false,false,false,3,210,630,0.014285714365541935,0.004761904943734407,70.0,0.3333333432674408,210.0,3.0,0,0.0,false,0,0.0,false,209,0.33,0,0.0,212,0.34,0,0.0,0,0.0,0,0.0,3,0.0,627,1.0,0,0.0,0,0.0,182,0.29,1.45,0.61,1,5,4.46,4.85,0,33,4.46,4.85,0,33,1.65,1.71,0,4,0.02,0.17,0,2,0.01,0.21,0,3,0.0,0.0,0,0
Countries most poular alcoholic drink.html-0,true,false,true,true,false,true,true,true,false,false,false,6,190,1140,0.031578946858644485,0.005263158120214939,31.66666603088379,0.1666666716337204,190.0,6.0,1,0.0,true,1,0.0,true,196,0.17,18,0.02,377,0.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,176,0.15,1.12,0.56,1,8,3.29,5.13,0,52,3.29,5.13,0,52,1.5,1.25,0,3,0.5,0.52,0,3,0.0,0.0,0,0,0.0,0.0,0,0
www.photius.com.road.html-0,false,false,false,true,false,true,true,false,false,false,false,4,179,716,0.022346368059515953,0.005586592014878988,44.75,0.25,179.0,4.0,1,0.0,true,1,0.0,true,355,0.5,0,0.0,182,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,168,0.23,1.09,0.45,1,6,2.58,5.0,0,51,2.58,5.0,0,51,2.1,1.41,0,6,0.37,1.77,0,39,0.0,0.0,0,0,0.0,0.0,0,0
countrycode.org.html-0,true,false,true,true,false,true,true,true,false,false,true,6,238,1428,0.02521008439362049,0.004201680887490511,39.66666793823242,0.1666666716337204,238.0,6.0,2,0.0,true,2,0.0,true,0,0.0,0,0.0,476,0.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,192,0.13,2.08,0.81,1,6,7.13,4.39,1,32,7.13,4.39,1,32,4.3,3.7,0,11,1.74,1.5,0,5,0.0,0.0,0,0,0.0,0.0,0,0
United Nations Statistics Division- Standard Country and Area Codes Classifications (M49).htm1cbdd483-a1e2-45ee-8edf-94e2faa76a77.html-0,false,false,false,true,false,true,true,false,false,false,false,3,242,726,0.012396694160997868,0.00413223123177886,80.66666412353516,0.3333333432674408,242.0,3.0,0,0.0,false,0,0.0,false,241,0.33,1,0.0,481,0.66,239,0.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,185,0.25,1.21,0.74,1,8,4.75,6.69,0,52,4.75,6.69,0,52,1.0,1.41,0,3,0.03,0.24,0,3,0.0,0.0,0,0,0.0,0.0,0,0
82406000_6570955668424512999-0,false,true,true,false,true,false,true,true,true,true,true,2,16,32,0.125,0.0625,8.0,0.5,16.0,2.0,0,0.0,false,0,0.0,false,0,0.0,1,0.03,28,0.88,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,5.78,16.43,1,95,32.78,90.19,0,522,32.78,90.19,0,522,0.41,0.91,0,3,0.97,1.99,0,11,0.0,0.0,0,0,0.0,0.0,0,0
women rep in national parliaments.html-0,false,false,true,true,false,false,true,false,false,false,true,6,191,1146,0.03141361102461815,0.005235602147877216,31.83333396911621,0.1666666716337204,191.0,6.0,0,0.0,false,0,0.0,false,380,0.33,184,0.16,200,0.17,0,0.0,0,0.0,0,0.0,6,0.01,1140,0.99,0,0.0,0,0.0,178,0.16,1.13,1.46,1,36,2.44,8.92,0,206,2.44,8.92,0,206,2.05,1.86,0,6,0.48,0.73,0,4,0.03,0.43,0,6,0.0,0.0,0,0
